,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mehamn,NO,35.04,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
4,Hommelvik,NO,27,clear sky,63.41,10.79,Best Western Stav Hotel
9,Ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
13,Pulandian,CN,28.4,broken clouds,39.4,121.97,HR East Hotel
15,Jamestown,US,39,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
20,Paamiut,GL,32.31,light snow,61.99,-49.67,Yeet Hotel
21,Punta Arenas,CL,44.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
28,Vezirkopru,TR,37.4,clear sky,41.14,35.45,Karlik Erkek Ogrenci Yurdu
31,Shelburne,CA,41,few clouds,44.08,-80.2,The Retreat at the Farm
32,Nikolskoye,RU,33.8,overcast clouds,59.7,30.79,Tourist House - Sablino
37,Saint George,US,30.2,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
52,Hami,CN,23.68,few clouds,42.8,93.45,Laoyutang Resort
68,Stokmarknes,NO,43,light rain,68.56,14.91,Vesterålen Kysthotell
80,Ogdensburg,US,41,overcast clouds,44.69,-75.49,Dewar’s Inn on the River
81,Narsaq,GL,33.8,broken clouds,60.92,-46.05,Hotel Narsaq
83,Nanortalik,GL,34.54,light snow,60.14,-45.24,"NTS Rooms, Nanortalik"
98,Thunder Bay,CA,36,broken clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
99,Nuuk,GL,24.8,scattered clouds,64.18,-51.72,Vandrehuset
101,Hecun,CN,32.16,clear sky,36.53,114.11,Yijia Hotel
102,Griffith,US,41,clear sky,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
117,Port Hardy,CA,42.8,scattered clouds,50.7,-127.42,Airport Inn
120,Sitka,US,39.2,light rain,57.05,-135.33,Westmark Sitka
134,Olafsvik,IS,35.83,overcast clouds,64.89,-23.71,Hotel Olafsvik
137,Kenai,US,32,clear sky,60.55,-151.26,Aspen Extended Stay Suites
150,Nome,US,24.8,overcast clouds,64.5,-165.41,Dredge 7 Inn
155,Varhaug,NO,42.8,light rain,58.61,5.65,Dancenter Gurihuset
179,Timmins,CA,32,overcast clouds,48.47,-81.33,The Senator Hotel & Conference Centre
183,Severo-Kurilsk,RU,25.48,broken clouds,50.68,156.12,Kak Doma
188,Klaksvik,FO,42.8,light intensity drizzle,62.23,-6.59,Airbnb rooms
199,Leirvik,NO,39.99,overcast clouds,59.78,5.5,Stord Hotel
204,Andenes,NO,43,light rain,69.31,16.12,Hotell Marena
209,Midland,US,44.01,overcast clouds,32,-102.08,DoubleTree by Hilton Hotel Midland Plaza
217,Deer Lake,CA,42.8,light intensity drizzle,49.17,-57.43,Holiday Inn Express Deer Lake
222,Whitecourt,CA,24.8,overcast clouds,54.15,-115.69,Super 8 by Wyndham Whitecourt
224,Te Anau,NZ,43.34,broken clouds,-45.42,167.72,Kingsgate Hotel Te Anau
237,Talas,TR,37.4,clear sky,38.69,35.55,Fimaj Residence
248,Handan,CN,33.35,clear sky,36.6,114.47,Jin Jiang Inn - Handan China South Street Inn
253,Hasaki,JP,39.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
255,Portland,US,39.99,mist,45.52,-122.68,The Bidwell Marriott Portland
256,Hamina,FI,33.01,overcast clouds,60.57,27.2,SpaHotel Hamina
266,Klyuchi,RU,22.39,light snow,52.27,79.17,Vesolaya Mayovka
282,Terrace,CA,32,light snow,54.52,-128.6,Northern Motor Inn
284,Krasnyy Yar,RU,41,broken clouds,46.53,48.35,Cottege near Ufa
285,Amos,CA,32,light snow,48.57,-78.12,"Amosphère, complexe hôtelier"
291,San Jose,US,39.2,clear sky,37.34,-121.89,The Westin San Jose
294,Merke,KZ,27.18,light snow,42.87,73.18,Gostinitsa
297,Broome,US,42.01,mist,42.25,-75.83,Chenango Valley State Park
300,Sorland,NO,44.85,moderate rain,67.67,12.69,Sjybrygga fiskecamp
311,Haines Junction,CA,26.6,overcast clouds,60.75,-137.51,Parkside Inn
312,Sungurlu,TR,40.05,clear sky,40.17,34.37,Sungurlu Ogretmenevi
324,Invermere,CA,32,broken clouds,50.52,-116.04,Copper Point Resort
331,Grindavik,IS,33.8,overcast clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
336,Longyearbyen,SJ,24.8,light snow,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
340,Kamaishi,JP,36.01,clear sky,39.27,141.88,Hotel Route Inn Kamaishi
341,Saint Anthony,US,42.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
347,Orlovskiy,RU,40.68,broken clouds,46.87,42.06,ТеТ-А-ТеТ
353,Aberdeen,GB,37,few clouds,57.14,-2.1,Premier Inn Aberdeen City Centre hotel
355,Kodiak,US,33.8,light snow,57.79,-152.41,Best Western Kodiak Inn and Convention Center
360,Kentau,KZ,22.75,broken clouds,43.52,68.51,Homestay Betty's B&B
378,Shache,CN,23.83,clear sky,38.42,77.24,Delong Hotel
391,Wasilla,US,37.4,clear sky,61.58,-149.44,Alaska's Select Inn Wasilla
392,Oktyabrskoye,RU,23,clear sky,43.06,44.74,Prolesok Mini-hotel
408,Snyder,US,39.2,overcast clouds,32.72,-100.92,Holiday Inn Express & Suites Snyder
411,Prince Rupert,CA,41,few clouds,54.32,-130.32,Crest Hotel
417,Aleksandrov Gay,RU,30.51,broken clouds,50.15,48.57,Gostinitsa I.p. Yes'kov A.v
424,Korla,CN,31.01,overcast clouds,41.76,86.15,Gulisitan Hotel
426,Hofn,IS,37.49,overcast clouds,64.25,-15.21,Hótel Höfn
432,Hutang,CN,37,overcast clouds,31.53,119.48,Dongyuan Restaurant
437,Nemuro,JP,34.54,few clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
439,Aksu,CN,26.31,clear sky,41.12,80.26,Pudong Holiday Hotel
460,Devils Lake,US,32,clear sky,48.11,-98.87,Holiday Inn Express Devils Lake
463,Shetpe,KZ,33.33,clear sky,44.17,52.12,Rtsm Shetpe Analog
464,Jinchang,CN,23.23,overcast clouds,38.5,102.17,Mingshihui Jinchang International Hotel
469,Shahr-E Kord,IR,42.8,overcast clouds,32.33,50.86,Shahrekord Tourist Hotel
472,Iqaluit,CA,23,light snow,63.75,-68.51,Frobisher Inn
475,Amberieu-En-Bugey,FR,44.6,clear sky,45.96,5.34,Ambotel
479,Pasinler,TR,32,broken clouds,39.98,41.68,qwe
483,Vestmannaeyjar,IS,35.6,scattered clouds,63.44,-20.27,Glamping & Camping
485,Lubbenau,DE,39,overcast clouds,51.87,13.97,Schloss Lübbenau
490,Baglan,AF,43.18,clear sky,36.13,68.71,Habibullah MOsazai
495,Vadso,NO,24.8,overcast clouds,70.07,29.75,Scandic Vadsø
497,Matagami,CA,30.2,overcast clouds,49.75,-77.63,Hôtel Matagami
500,Sioux Lookout,CA,30.2,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
507,Homer,US,37.99,few clouds,59.64,-151.55,Beluga Lake Lodge
517,Marshalltown,US,45,clear sky,42.05,-92.91,Best Western Regency Inn
518,Ketchikan,US,37.4,overcast clouds,55.34,-131.65,Snows Cove Lodge
521,Pacific Grove,US,42.8,clear sky,36.62,-121.92,Lovers Point Inn
522,Butler,US,44.01,clear sky,39.45,-84.57,Twin Run Golf Course
524,Jishou,CN,39.42,scattered clouds,28.32,109.72,7Days Inn Jishou Railway Station
536,Saint Paul,US,44.01,clear sky,44.94,-93.09,InterContinental Saint Paul Riverfront
537,Norrtalje,SE,41,overcast clouds,59.76,18.7,Norrtälje Vandrarhem Hvilan
542,Chenzhou,CN,43.54,overcast clouds,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
546,Tawang,IN,38.12,clear sky,27.58,91.87,Hotel Mount View
549,Hayesville,US,37.4,overcast clouds,44.99,-122.98,Best Western Pacific Highway Inn
552,Jumla,NP,42.8,clear sky,29.27,82.18,Hotel Sundar Rara Karnali
558,Gus-Khrustalnyy,RU,31.14,broken clouds,55.61,40.65,Meschera hotel
568,Vestmanna,FO,42.8,light intensity drizzle,62.16,-7.17,Budget Guesthouse Borgustova
569,Valley City,US,37.4,clear sky,46.92,-98,AmericInn by Wyndham Valley City Conference Center
574,Les Escoumins,CA,37.4,overcast clouds,48.11,-69.02,Parc du Mont-Saint-Mathieu
578,Tongchuan,CN,29.28,clear sky,35.08,109.09,Tongchuan Hotel
580,Vardo,NO,33.91,overcast clouds,70.37,31.11,Vardø Hotel AS
583,North Bend,US,37.4,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
584,Ishinomaki,JP,40.87,broken clouds,38.42,141.3,Hotel Route Inn Ishinomaki Henan Inter
587,Gravdal,NO,43.11,light rain,68.12,13.5,Skreda Rorbusuiter
590,Lasa,IT,37,clear sky,46.62,10.7,Pension Feldgärtenhof
591,Vytegra,RU,23.88,overcast clouds,61.01,36.45,Wardenclyffe Volgo&Balt
593,Zarichne,UA,31.24,overcast clouds,51.81,26.13,Yunistʹ
597,Pangnirtung,CA,21.2,overcast clouds,66.15,-65.71,Kilabuk Lodge
605,Svetlyy,RU,39.2,broken clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
613,Yanliang,CN,42.01,mist,34.66,109.23,Pod Inn Xi'an Yanliang Renmin Road
614,Enid,US,45,clear sky,36.4,-97.88,Ramada by Wyndham Enid
641,Goderich,CA,39.2,few clouds,43.75,-81.72,Harmony Inn
645,Rorvik,NO,39.61,broken clouds,64.86,11.24,Kysthotellet Rørvik AS
646,Dalvik,IS,33.8,broken clouds,65.97,-18.53,Dalvík HI Hostel
649,Ucluelet,CA,37.4,fog,48.93,-125.55,Black Rock Oceanfront Resort
656,Khasan,RU,25.36,clear sky,42.43,130.64,Krako Motorkár
658,Urumqi,CN,24.8,snow,43.8,87.6,Hua Ling Grand Hotel Urumqi
661,Hornepayne,CA,32.67,broken clouds,49.21,-84.77,Jackfish River Inn
665,Komsomolskiy,UZ,33.8,mist,40.43,71.72,Ikathouse
669,Petrozavodsk,RU,28.4,overcast clouds,61.78,34.35,"Первый рыбный ресторан ""Фрегат"""
674,Kitami,JP,33.01,broken clouds,43.8,143.89,Toyoko INN Kitami Ekimae
676,Beloostrov,RU,34,overcast clouds,60.15,30,Kapitan Flint Hotel
